node_id,final_role,initial_energy,remaining_energy,total_consumed,energy_tx,energy_rx,energy_idle,energy_sleep,time_tx,time_rx,time_idle,time_sleep,packets_sent,packets_received,packets_lost,bytes_sent,bytes_received,is_alive,death_time
17,REGISTERED,10000,4041.7327192311263,5958.267280768874,1406.5,4551.75,0.0169856298117419,0.00029513916077898765,0.05626000000000018,0.36414000000000285,1698.5629811742056,295.1391607789874,222,1430,29,14065,91035,True,
18,CLUSTER_HEAD,10000,4692.982719230426,5307.017280769574,1478.5,3828.5,0.016985630515165016,0.00029513911299328035,0.05914000000000021,0.306280000000002,1698.5630515164912,295.1391129932805,234,1196,22,14785,76570,True,
19,ROUTER,10000,5385.73244922866,4614.26755077134,1446.0,3168.25,0.01728563248804534,0.0002651388923390435,0.05784000000000019,0.2534600000000014,1728.5632488045385,265.1388923390429,226,987,23,14460,63365,True,
20,REGISTERED,10000,5832.482584175801,4167.517415824199,1428.0,2739.5,0.017135628364294792,0.00028019580597110047,0.057120000000000185,0.21916000000000127,1713.5628364294835,280.19580597110007,223,855,21,14280,54790,True,
21,ROUTER,10000,4109.482585096416,5890.517414903584,1403.0,4487.5,0.01713562825035516,0.00027927553044708106,0.05612000000000018,0.3590000000000025,1713.5628250355073,279.27553044708065,219,1389,24,14030,89750,True,
22,CLUSTER_HEAD,10000,4778.982134311941,5221.017865688059,1402.0,3819.0,0.017635635329553784,0.00023005273008653416,0.05608000000000017,0.3055200000000019,1763.5635329553613,230.05273008653486,218,1175,25,14020,76380,True,
23,ROUTER,10000,4723.482134899787,5276.517865100213,1452.5,3824.0,0.017635635206188698,0.0002294648490491036,0.058100000000000186,0.3059200000000019,1763.5635206188833,229.46484904910383,225,1175,19,14525,76480,True,
24,CLUSTER_HEAD,10000,5404.732314320685,4595.267685679315,1451.0,3144.25,0.017435635898214973,0.0002500432670630942,0.05804000000000019,0.25154000000000143,1743.5635898214978,250.04326706309408,226,978,29,14510,62885,True,
25,ROUTER,10000,4424.232585329617,5575.767414670383,1365.0,4210.75,0.017135637939141204,0.00027903234665589395,0.05460000000000016,0.33686000000000205,1713.563793914131,279.0323466558941,214,1303,32,13650,84215,True,
26,CLUSTER_HEAD,10000,3380.7325852140357,6619.267414785964,1413.5,5205.75,0.017135638027439972,0.0002791480254654839,0.05654000000000018,0.41646000000000305,1713.5638027440168,279.1480254654831,221,1613,27,14135,104115,True,
27,REGISTERED,10000,5869.482584223748,4130.517415776252,1385.5,2745.0,0.017135637897402616,0.00028013837307941803,0.05542000000000017,0.21960000000000127,1713.5637897402532,280.1383730794173,218,857,23,13855,54900,True,
28,ROUTER,10000,5066.482449228648,4933.517550771352,1374.5,3559.0,0.017285632325764664,0.0002651390040908232,0.05498000000000017,0.28472000000000175,1728.5632325764727,265.1390040908233,216,1117,32,13745,71180,True,
