node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,89.900937,139.863198,185.294288,232.094024,335.222727,410.244886,469.615388,554.837957,600.359441,681.496289,0.000000,122.005720,158.814001,262.415561,335.100091,424.578362,483.597572,548.928773,646.561822,685.669259,70.749856,114.578037,178.394764,255.308832,350.520014,440.426142,497.725395,557.851030,621.828679,691.060514,180.312910,206.310473,221.193567,297.518769,345.163609,466.996125,502.955186,595.683443,669.969362,755.482103,207.400875,264.384286,329.066328,368.126313,434.101322,481.837793,561.282579,626.610649,705.445655,749.014946,324.771317,355.066604,377.416362,435.015152,441.285910,516.690281,610.839981,653.222480,716.423997,812.252418,373.773254,391.088877,442.075981,454.842482,530.700208,564.942352,621.214654,683.615722,766.201377,818.589971,437.349142,478.337146,521.573712,551.073495,568.897972,618.664178,682.204768,747.187860,823.800148,879.530336,523.221114,554.094042,577.575294,584.864925,673.076614,719.506340,738.187462,802.917534,864.294270,930.860076,612.946788,639.137484,658.562292,700.877622,699.109545,747.086180,812.468267,862.789990,918.027968,972.227386
11,142.951587,66.543828,69.131238,110.218583,214.186262,288.320830,347.678103,433.049615,478.527943,559.882860,122.005720,0.000000,41.917345,144.612505,216.950247,306.122668,363.724491,428.478403,526.939994,565.516963,115.015283,82.960031,91.979737,153.320506,246.570430,329.337801,382.236446,441.905482,505.561601,574.518867,218.190948,178.421091,166.858568,224.658764,251.789868,368.305618,400.228621,488.748457,558.047235,643.094302,238.537448,242.535531,281.823275,299.859856,354.139456,390.849015,465.064239,522.309539,600.448985,643.789414,344.582341,344.410886,341.752295,383.882609,375.645233,441.341882,524.125480,563.478576,619.615776,711.288095,400.080103,387.777494,422.187308,408.250706,473.994965,499.422213,545.547595,597.779938,675.130275,724.604673,460.858177,471.644861,501.186870,513.707357,516.699322,558.390741,612.467741,668.820740,739.076471,790.522899,534.237410,555.025823,565.839581,556.992479,629.325942,664.648228,676.324370,730.094104,782.930567,849.016690,632.728419,642.619686,648.586340,671.498584,657.017511,697.380521,757.810913,794.967300,848.168388,894.849372
12,184.710172,95.658638,62.182096,80.680245,185.193888,253.093540,312.392899,396.952922,442.548734,523.211284,158.814001,41.917345,0.000000,104.093672,176.784852,266.226584,324.821417,390.115873,487.871593,526.875899,136.623111,87.776946,62.342850,112.512197,204.874326,287.567909,341.250061,401.090246,464.878997,533.953912,223.100771,163.346326,142.425417,190.420560,211.655257,326.880921,358.431646,446.837188,516.482112,601.619110,239.757296,225.013684,254.084609,265.327821,316.029008,350.412156,423.760131,480.409547,558.533199,601.872097,337.319594,326.892953,316.198526,352.940173,340.827222,403.695796,484.021244,522.849463,578.115509,669.470446,393.634140,371.652445,400.087286,378.292051,440.622231,463.698522,507.398213,557.675999,634.199680,683.311656,452.320692,452.984509,477.888360,485.279156,484.193166,523.614226,575.332829,629.851333,698.952542,749.758350,520.518303,537.810662,544.544259,530.933637,598.374807,630.726365,640.720726,692.047875,743.281721,809.223138,620.947302,625.448279,627.177067,644.251118,626.368282,664.603049,723.634939,757.795957,810.500779,855.741888
13,283.940257,178.291904,113.351401,63.286509,113.450433,157.192469,215.117682,297.322055,342.868959,422.191388,262.415561,144.612505,104.093672,0.000000,72.723268,162.203384,221.468918,287.209495,384.197504,423.519882,230.674810,172.655311,106.541962,62.074841,117.685105,187.247584,237.668285,297.292979,360.969701,429.974158,289.132132,198.535911,158.765596,158.391376,141.195180,238.734120,264.938724,348.310477,414.297114,499.052859,298.016403,243.951632,238.610705,221.847810,251.284375,270.068050,335.257668,383.692237,460.704833,503.650564,371.619164,336.336909,302.509150,318.062172,290.860008,338.082110,403.418772,438.465529,486.636328,573.990329,427.106464,382.234432,392.363422,345.771439,392.725371,405.407141,437.069850,476.270404,546.974849,593.177770,478.719041,453.109821,463.568575,454.182255,438.441072,468.005321,508.780577,553.984147,616.423884,663.122021,531.923394,539.402172,534.365518,506.456957,555.932063,576.761307,579.922252,620.123203,663.125487,727.983664,635.103459,625.241782,614.896248,613.636656,584.530524,614.522942,667.600779,689.288767,739.474284,777.802768
14,354.332543,244.970696,177.835504,121.795091,100.973192,98.283619,150.956532,228.920607,274.090531,351.835169,335.100091,216.950247,176.784852,72.723268,0.000000,89.484802,149.352281,215.405654,311.649475,351.185752,301.006619,241.833948,172.494179,104.422747,86.826688,122.511758,166.239683,225.336656,288.759849,357.611761,348.072255,249.154165,205.623532,176.162300,127.009419,189.403526,207.653375,283.190764,344.373481,428.511873,353.227280,282.544187,256.527431,220.225095,227.121572,228.215855,281.903216,320.346771,395.560940,437.878756,412.059504,363.571717,316.471057,315.335837,277.409967,307.863613,356.698660,387.362747,427.894354,510.708971,465.426124,408.186716,405.874870,343.349132,375.882757,379.279768,399.325399,427.471691,491.851029,534.961157,511.568465,469.866517,470.049146,448.606730,421.820663,442.417104,472.945746,509.238789,565.063562,607.724658,554.170898,554.997608,541.979132,504.429767,539.135075,550.374513,547.843769,578.084565,613.520871,677.001692,657.353221,638.050507,619.484830,604.889903,567.689606,590.692457,638.288890,649.479389,697.139376,729.377038
15,441.731449,330.183061,262.799502,206.236224,145.418442,73.900509,90.406673,149.632703,192.769695,266.522669,424.578362,306.122668,266.226584,162.203384,89.484802,0.000000,62.082057,128.076446,222.404355,262.281289,388.985948,329.315493,258.970843,185.094433,120.521476,70.991091,82.195373,138.292232,200.693000,269.050613,427.063951,323.893619,279.600354,230.857979,162.206729,157.565684,157.223556,210.945114,261.003819,343.426165,429.066176,346.336738,303.124684,250.453827,229.098866,203.691870,232.465910,250.472713,320.737522,361.399818,473.483497,413.562765,355.142453,335.687972,287.792290,293.389194,314.401923,336.811232,363.658489,437.738900,523.688300,455.384035,439.984907,362.334060,375.357259,366.252063,368.928580,379.341701,432.321660,469.910898,563.422747,505.511586,494.138194,459.125836,419.520086,427.489172,442.802283,465.241451,510.190240,546.214255,593.935500,587.362299,565.507654,517.514195,532.920574,531.288853,521.074390,536.709809,560.609096,621.358366,695.477237,665.754548,637.907914,607.408049,560.751090,574.151576,613.566640,610.160867,653.670631,676.936758
16,495.965137,382.604786,315.734366,259.734709,182.058064,93.820376,64.987807,90.998795,132.013881,204.441897,483.597572,363.724491,324.821417,221.468918,149.352281,62.082057,0.000000,66.223699,163.222143,202.083282,450.135987,390.671007,320.583214,247.166823,178.403175,102.884290,62.456933,96.385777,151.821849,217.148285,488.930140,385.365639,341.093317,289.042194,217.671607,182.575384,167.283063,190.696780,221.114129,298.683455,490.511363,405.503845,357.709595,300.487979,267.623661,228.614333,235.529399,230.780566,291.977268,329.474938,531.322928,467.980641,406.020192,379.080220,327.820547,319.222766,319.101011,333.468503,346.063049,408.816590,580.294654,508.414827,487.798074,404.457439,406.826202,390.371464,380.989448,376.785208,417.903426,449.241387,617.546695,553.316012,536.634268,495.072716,448.911393,448.800723,453.122772,464.175592,498.814414,528.045078,642.903086,632.983013,606.978708,554.025922,557.947167,547.890121,532.407707,536.580697,550.306490,607.889327,743.143693,708.557937,676.092948,636.870951,584.946232,591.888665,625.116462,610.716811,650.398015,665.813442
17,558.487253,444.335842,378.107604,322.774601,237.428031,148.238548,97.647063,49.085761,74.262172,139.004830,548.928773,428.478403,390.115873,287.209495,215.405654,128.076446,66.223699,0.000000,100.147357,137.150437,516.309969,456.882400,386.804645,313.106115,240.382985,154.351047,91.461611,77.602497,107.610420,163.717547,554.017711,449.854217,405.665720,350.181584,277.186491,219.979708,193.452309,182.357795,184.648579,252.487080,554.864715,467.140061,414.908379,354.109159,311.932273,262.764631,248.591344,219.345829,266.054234,298.323577,591.136588,524.341258,459.236061,425.431127,371.928552,350.358189,329.357380,334.705324,331.121937,379.159575,638.604939,563.143835,537.334304,449.247727,441.283093,417.962038,396.742140,377.406132,404.484734,428.168931,673.023188,602.413808,580.436466,532.686387,480.614168,472.417525,465.417552,464.271215,487.135070,508.449415,692.771854,679.384379,649.230562,591.615089,583.787212,565.171433,544.423319,536.441458,539.014530,592.442596,791.249878,751.639451,714.512513,666.521749,609.638745,609.822144,636.224184,610.346782,645.509521,652.322926
18,658.346338,544.356246,477.960298,422.371857,337.217921,248.256613,195.191676,118.656434,93.619717,78.414100,646.561822,526.939994,487.871593,384.197504,311.649475,222.404355,163.222143,100.147357,0.000000,41.347249,610.996096,551.127042,480.449688,404.568121,323.189920,228.794202,160.873227,107.785945,66.948272,77.295109,640.505611,535.012893,491.439215,428.671982,354.507853,269.810670,232.541171,175.832044,128.978890,170.806154,638.929817,544.958197,484.590409,419.072487,364.173517,303.938936,261.719337,200.125306,216.708388,237.664559,663.697970,590.632982,520.848811,476.314151,421.091383,380.941874,330.365274,321.724176,293.570369,316.332276,707.549508,625.808205,591.007676,496.911022,472.829862,439.865793,401.740357,360.633747,364.959104,376.149086,735.913800,654.272503,623.518854,566.570787,506.554939,486.118791,462.102385,442.549898,446.976873,456.049424,744.872914,725.447492,688.561079,624.188632,597.761987,566.321900,538.079067,511.969951,497.922367,544.083078,839.164611,791.057142,746.463188,684.882242,621.240698,610.909530,626.283413,583.684276,611.450502,605.663408
19,695.326677,580.943033,515.002309,459.857105,371.682326,283.613776,228.195255,146.133696,110.950938,58.676481,685.669259,565.516963,526.875899,423.519882,351.185752,262.281289,202.083282,137.150437,41.347249,0.000000,651.199542,591.419630,520.844023,445.297984,364.501842,270.131625,202.220415,148.449460,100.186029,79.127872,681.783138,576.321768,532.717295,469.978754,395.816327,309.188831,270.915851,206.698383,145.063320,165.388531,680.271451,586.202344,525.344755,459.490673,403.232955,341.750199,294.585708,225.958786,229.466407,243.486995,704.551597,630.922487,560.676846,514.692361,459.410227,416.044366,358.684741,345.822058,308.969876,318.501519,748.027301,665.609297,629.528768,534.670548,507.483375,472.486628,430.204813,382.692832,377.897087,382.963974,775.622525,692.355888,660.012995,601.289838,539.709338,516.247119,487.375913,461.614869,458.389946,461.524708,782.845217,762.306201,724.096166,658.390639,627.276958,592.182852,561.698745,529.240033,508.339139,550.666627,876.206431,826.384931,780.153189,715.241475,649.958440,636.480388,648.078279,599.494910,624.007550,612.587114
