source_id,target_id,distance
3,83,619.156223
3,84,610.625944
3,85,637.117582
3,86,665.732356
3,87,705.705640
3,88,760.805697
3,89,824.235412
3,90,701.768279
3,91,714.798070
3,92,704.364612
3,93,680.869024
3,94,725.892876
3,95,744.184880
3,96,765.272488
3,97,783.233914
3,98,831.676820
3,99,869.215732
4,5,61.660860
4,6,155.147418
4,7,203.688428
4,8,272.280432
4,9,357.447500
4,10,313.412901
4,11,266.374202
4,12,155.067758
4,13,118.001654
4,14,86.643070
4,15,113.777219
4,16,160.333957
4,17,246.787364
4,18,306.702946
4,19,374.988932
4,20,331.570398
4,21,250.660289
4,22,207.597383
4,23,134.566568
4,24,159.827759
4,25,187.753978
4,26,208.924371
4,27,278.223147
4,28,357.141138
4,29,419.544805
4,30,371.392224
4,31,316.344604
4,32,268.650968
4,33,248.709694
4,34,241.183467
4,35,227.905621
4,36,259.956909
4,37,351.433094
4,38,375.822970
4,39,435.211247
4,40,381.476326
4,41,374.876533
4,42,311.496019
4,43,320.399365
4,44,301.991240
4,45,332.135906
4,46,328.093336
4,47,371.617571
4,48,468.091097
4,49,508.722415
4,50,472.691387
4,51,426.758430
4,52,368.617880
4,53,348.064225
4,54,351.976199
4,55,383.839396
4,56,416.956719
4,57,446.254528
4,58,479.745119
4,59,539.582960
4,60,497.626784
4,61,460.794753
4,62,448.473809
4,63,433.526722
4,64,466.762436
4,65,474.290256
4,66,477.991636
4,67,522.344802
4,68,566.652933
4,69,577.792310
4,70,592.771645
4,71,556.464556
4,72,539.748995
4,73,511.820577
4,74,500.390317
4,75,535.098518
4,76,533.372025
4,77,557.207498
4,78,629.477514
4,79,658.641898
4,80,651.907225
4,81,606.672276
4,82,597.730878
4,83,590.813860
4,84,572.423170
4,85,588.160733
4,86,607.984981
4,87,639.857685
4,88,688.322230
4,89,745.605557
4,90,706.569822
4,91,712.726132
4,92,692.339196
4,93,656.682288
4,94,689.663788
4,95,701.089255
4,96,712.971632
4,97,716.715567
4,98,760.481411
4,99,790.878121
5,6,95.320285
5,7,142.242721
5,8,211.410823
