clusterhead_1,clusterhead_2,distance
47,65,241.148729
47,73,379.055624
47,76,225.290895
47,78,262.497542
47,84,348.262257
47,86,302.734371
47,90,609.725303
47,92,537.729288
47,94,448.118869
47,96,412.802489
47,97,373.968527
49,56,228.939597
49,58,118.611378
49,60,679.868876
49,62,555.305349
49,65,354.766201
49,73,507.424991
49,76,290.749589
49,78,212.906585
49,84,443.043803
49,86,348.510609
49,90,728.984085
49,92,641.388092
49,94,517.678388
49,96,442.735152
49,97,359.069486
56,58,118.845274
56,60,453.531266
56,62,327.432643
56,65,135.051011
56,73,281.255843
56,76,126.342691
56,78,225.673521
56,84,240.276412
56,86,205.515235
56,90,508.574387
56,92,431.662567
56,94,341.026004
56,96,316.334230
56,97,300.212038
58,60,572.049628
58,62,445.393179
58,65,236.983588
58,73,390.625023
58,76,174.725646
58,78,155.709436
58,84,324.889772
58,86,239.507326
58,90,610.493936
58,92,523.083742
58,94,404.382201
58,96,342.002815
58,97,280.376718
60,62,128.142710
60,65,355.786104
60,73,222.014921
60,76,458.729029
60,78,633.045194
60,84,347.320238
60,86,478.119762
60,90,250.408478
60,92,301.582512
60,94,415.453106
60,96,520.901869
60,97,610.059145
62,65,228.296572
62,73,111.360672
62,76,331.992382
62,78,505.774118
62,84,234.532737
62,86,357.215949
62,90,258.292329
62,92,256.663744
62,94,322.929492
62,96,412.689465
62,97,491.130420
65,73,154.544913
65,76,104.544798
65,78,277.481647
65,84,111.438829
65,86,149.617878
65,90,375.268829
65,92,296.778937
65,94,224.106528
65,96,242.214185
65,97,281.396025
73,76,247.889301
73,78,421.760645
73,84,125.826117
73,86,257.033309
73,90,231.772249
73,92,182.737619
73,94,212.828271
73,96,302.562458
73,97,388.093417
76,78,174.708575
76,84,155.410487
76,86,79.178067
76,90,448.043475
76,92,353.105078
76,94,230.416855
76,96,190.043252
76,97,188.960665
78,84,317.031122
78,86,185.533905
78,90,608.362523
78,92,504.270928
78,94,351.930700
78,96,249.798834
78,97,148.138535
84,86,138.023655
84,90,293.505379
84,92,198.418973
84,94,117.322703
84,96,178.431700
84,97,264.090419
86,90,423.954380
86,92,318.748241
86,94,171.567857
86,96,110.897586
86,97,134.697468
90,92,113.828472
90,94,282.278983
90,96,409.847342
90,97,528.330712
92,94,168.750902
92,96,296.428500
92,97,416.275026
94,96,127.684190
94,97,249.091246
96,97,124.835616
