node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,72.982203,84.836700,160.397207,219.431404,313.412901,374.955634,465.106232,515.934480,582.518001,669.277718,0.000000,76.018468,176.926682,207.676298,332.993639,379.279719,443.295979,543.623182,611.865931,679.583110,119.644916,132.289377,211.193508,266.603408,319.362564,414.097724,480.761413,548.146474,644.807295,709.277636,156.188809,198.390419,232.743662,320.936660,385.057993,418.821690,501.734541,594.726101,644.556734,704.380289,232.222655,288.158488,283.426020,356.933853,397.508548,501.419688,535.494447,599.699507,705.911871,760.530836,331.439723,334.170671,349.942738,399.009777,432.792569,514.069835,592.701378,638.846868,693.864375,774.009372,375.661330,393.427217,416.340692,454.402363,527.499768,576.817033,617.156337,691.674647,770.374880,791.509648,494.421655,498.092111,518.505772,523.040335,562.956184,646.261119,671.099257,713.599245,817.503923,850.864434,555.721316,550.053794,567.064291,620.145591,633.285755,680.563918,726.329754,782.143434,850.136992,926.331357,626.003229,652.504706,663.780204,667.847087,735.471967,767.541327,807.775052,857.378406,914.995264,969.086972
11,129.974347,114.144021,132.563090,187.497039,266.374202,326.151376,410.966295,463.228367,527.050279,614.775070,76.018468,0.000000,115.556029,151.075486,270.739062,316.239034,380.633811,482.240252,552.898539,619.723939,80.995443,56.767286,135.620261,197.440285,247.586005,344.021139,414.848500,480.533613,579.529199,643.941601,125.913825,134.578042,158.624791,244.918257,309.820495,345.434855,431.066932,522.883613,575.509915,634.874191,182.165739,226.309234,211.693270,282.551187,321.575040,425.840528,461.343459,526.395995,632.645815,688.324164,286.383163,276.588807,280.403121,324.680751,357.529579,438.107108,516.893703,563.330112,619.030344,700.123431,327.379661,333.500354,351.231049,383.698526,454.598421,501.920177,541.302813,615.660350,694.851276,716.322538,444.486144,439.923267,454.600190,454.861263,490.365917,571.398229,595.410208,637.650401,741.556211,774.947016,506.794152,492.810033,505.656439,551.441160,561.620773,606.933617,651.519598,706.602667,774.253861,850.314200,575.026169,597.863657,603.675456,601.962852,666.241629,696.542771,734.730371,782.058369,839.345748,893.087431
12,195.282070,156.426081,80.525698,103.329320,155.067758,212.717574,295.512414,347.920366,411.495690,499.223679,176.926682,115.556029,0.000000,37.080806,156.573380,202.673095,266.915940,367.953045,437.811892,504.940226,176.514353,96.287395,84.753545,93.762759,149.875787,239.750303,303.848100,371.526554,467.914145,532.389376,216.945830,172.790058,145.466950,184.894818,228.346555,251.337174,327.546364,421.804422,468.493031,528.538567,237.333910,248.595304,200.867373,245.154057,261.084413,344.543414,369.039458,429.888925,535.450091,587.671415,336.589342,303.110084,270.128813,284.225218,306.343443,371.801072,437.232552,479.279143,529.119337,605.027286,368.590104,349.075903,350.751438,360.293467,416.927594,449.029551,475.660315,541.005063,609.781463,628.220386,475.851375,453.510502,452.101475,438.246963,453.181258,517.233360,531.789982,568.132578,662.612260,695.001617,537.705494,506.425099,508.251014,529.583177,527.091672,560.903241,596.429766,643.556184,705.100470,775.317911,599.765208,614.199012,606.787640,588.549606,639.768690,662.335697,690.053708,720.746151,773.662637,819.431345
13,216.670303,174.900900,81.249161,80.344636,118.001654,175.843251,260.131980,312.216485,376.738838,464.225869,207.676298,151.075486,37.080806,0.000000,126.189174,172.546638,236.054193,335.964212,404.496090,472.043979,213.568888,132.946617,106.100780,80.610640,136.317925,217.832964,275.613048,344.539200,438.412773,502.791265,253.708545,205.205077,169.616328,189.977341,220.924046,236.017717,304.887173,399.903751,442.495254,502.778581,270.325319,275.551317,221.839625,255.865366,262.340439,334.263061,352.698136,410.612303,515.131660,565.191302,367.291406,329.673102,288.442646,292.491440,309.995967,367.920884,426.497637,466.064825,512.665128,585.526416,397.208880,372.300570,369.823581,372.438255,423.358702,449.457383,470.695228,531.618849,595.240117,612.142889,501.295311,474.842990,469.114217,451.270955,459.287762,516.439360,527.134112,560.758099,650.619498,682.420348,562.586989,527.258955,526.107200,539.959544,533.309785,562.766061,594.640514,638.354543,697.101613,764.584310,622.769620,634.975428,624.024992,601.072434,647.803256,667.646422,691.542767,715.832063,766.786384,809.115542
14,341.359856,298.531289,197.710392,162.018582,86.643070,97.869167,149.257180,202.147619,259.860055,347.840976,332.993639,270.739062,156.573380,126.189174,0.000000,46.370935,110.358099,211.543072,282.533571,349.028074,319.219135,237.753440,170.827800,84.927265,81.921956,105.396807,149.809740,219.376899,312.241396,376.642122,352.673668,281.280017,221.795256,175.885983,156.026592,141.739069,186.361583,281.088938,317.863908,378.206382,343.495898,322.014342,253.198189,246.274043,219.445850,246.232447,246.971452,296.626421,397.885890,444.229274,423.648652,370.019697,301.065551,269.292514,268.978168,297.212760,332.775174,364.769378,403.006197,469.180903,442.428789,396.212041,377.867566,355.026749,382.783726,387.856628,391.747274,438.645561,488.715351,502.155355,528.210766,485.818693,463.700845,432.116847,415.752862,448.456218,447.340366,472.543567,549.282154,579.387645,585.125951,534.220620,521.539579,507.705770,487.152567,501.613307,521.537773,554.616906,605.049142,665.100272,635.749844,638.546554,614.086428,574.453363,604.468491,614.905138,626.331732,631.712372,676.842207,710.260998
15,387.266722,344.239284,242.687713,203.259553,113.777219,97.409454,115.589206,166.577557,218.834290,306.383463,379.279719,316.239034,202.673095,172.546638,46.370935,0.000000,64.395532,166.165607,238.367883,304.108630,361.865588,281.160370,209.862733,124.958035,102.761747,77.038212,104.042213,174.042817,265.872331,330.271209,393.576618,318.123052,255.216638,193.617110,154.129607,123.760406,146.817208,239.966633,272.728730,333.029654,378.320557,350.144409,279.571812,259.835733,221.667009,224.476263,214.764459,258.388915,356.971069,401.074661,452.508870,395.140416,319.565500,276.466791,268.930753,282.429357,305.376423,332.839529,366.218795,428.468640,467.656132,415.579489,392.369465,360.996086,378.804993,374.739929,370.573516,410.028688,452.970229,464.596293,546.341588,499.131474,471.561078,435.475059,409.779056,431.358760,424.887099,445.839376,515.727382,544.868562,601.116304,545.418072,528.775543,504.644770,478.797591,486.738595,501.208875,529.211315,575.510693,631.868513,647.924160,647.354045,618.212202,572.708529,595.799677,602.308896,608.433005,605.581340,647.871390,677.147521
16,449.073315,405.667691,303.129849,259.148479,160.333957,119.739125,79.073816,119.496810,160.120707,246.173768,443.295979,380.633811,266.915940,236.054193,110.358099,64.395532,0.000000,101.960692,175.150891,240.081357,425.131997,344.926130,271.532521,188.005672,157.140807,86.625639,49.698496,117.905100,202.903845,267.068059,455.688770,377.547950,312.568664,239.405220,182.913193,136.250001,112.005770,195.042153,215.677116,275.382496,435.775492,401.865915,330.659765,298.942063,249.904228,219.284297,191.204835,219.811232,310.210007,348.571301,504.059246,443.480105,362.276660,308.009885,292.155867,285.032239,286.630498,305.017792,328.200530,381.414783,515.459912,457.725475,429.494439,388.788433,393.555171,376.804644,360.399748,386.565848,415.831334,423.784557,585.872136,533.542491,499.782024,458.639964,421.165014,426.257044,411.500540,425.068328,482.056434,509.174335,637.796274,576.870968,555.561176,518.433152,485.679075,484.072931,490.005906,509.507277,548.406968,597.897243,679.762324,675.070363,640.242760,587.471847,600.814615,601.624909,599.791182,583.944150,621.182059,643.125478
17,545.623855,501.835824,398.660341,350.048455,246.787364,192.254177,102.314762,89.912477,77.297305,152.188964,543.623182,482.240252,367.953045,335.964212,211.543072,166.165607,101.960692,0.000000,75.088925,138.164256,526.864170,446.855998,372.576184,289.812390,255.426533,168.509056,83.574282,80.018127,112.075022,172.930028,556.719691,476.741807,410.495888,329.392840,261.982709,207.566543,131.865376,165.113032,147.605130,200.494960,533.103542,494.145476,423.185263,380.973545,323.365200,256.445302,205.307441,199.937283,261.857992,284.149306,595.339633,531.986137,446.257382,381.991839,357.799347,325.787516,295.353601,296.191600,297.707820,328.443030,602.709528,539.469552,506.134052,455.701784,444.143460,410.907830,377.218778,379.883022,382.211523,382.428805,663.045086,605.233705,564.466735,517.921548,466.236731,447.505321,420.454836,421.111612,452.617873,475.044314,710.981408,644.293571,617.408580,563.835456,522.346654,506.816627,499.283929,504.136456,529.022596,564.820620,746.423189,736.433011,694.509290,632.711748,631.888857,624.190308,610.073865,573.200758,600.806835,609.069030
18,609.363612,565.409885,462.364406,410.515834,306.702946,247.600795,152.287294,113.310379,48.387956,80.473122,611.865931,552.898539,437.811892,404.496090,282.533571,238.367883,175.150891,75.088925,0.000000,68.305752,600.121051,519.523286,446.629847,363.007268,330.296460,243.161544,157.800824,132.432956,91.344435,131.535725,630.803742,551.572056,485.501093,404.083202,335.218167,280.113333,196.287434,199.695489,151.751187,187.037540,608.173566,568.931009,498.053524,454.031648,394.678516,317.289243,259.574365,236.273754,270.048235,274.985073,669.904604,606.090222,519.529529,452.920439,426.391450,385.676996,341.026791,331.523723,317.934193,327.912455,676.443033,611.890879,577.145677,523.741241,505.879828,465.705027,424.035379,412.675174,395.664478,389.582079,733.706251,674.141907,630.903651,582.510940,525.224706,494.899352,461.564128,454.268842,466.870435,484.990264,780.082229,711.404998,682.375457,621.813372,576.520924,553.880222,538.717982,534.213230,548.842566,573.535608,812.828408,800.606971,755.675643,689.984214,681.837246,669.478561,648.257106,598.265532,618.531749,616.206044
19,677.658316,633.706060,530.644809,478.784124,374.988932,315.687861,220.374648,178.688654,108.853841,69.543602,679.583110,619.723939,504.940226,472.043979,349.028074,304.108630,240.081357,138.164256,68.305752,0.000000,665.002910,585.005100,510.450087,427.975121,392.277975,300.984717,216.090608,173.936750,87.802788,88.658389,694.496837,613.382444,546.454919,460.841062,388.445641,332.717768,241.391255,218.154001,151.164117,163.673117,668.267782,625.556574,555.309802,505.920273,443.664437,353.797328,291.392998,252.926875,258.689789,247.570347,725.312407,660.032679,571.556430,500.705989,470.716213,419.465870,360.990368,341.838590,314.786902,305.485041,729.106059,661.609555,624.258994,566.315862,540.051863,492.245959,442.826771,417.825333,383.276826,371.703905,779.509656,717.157506,670.346292,619.682525,555.798190,512.919290,473.725010,458.734420,453.329899,467.183306,822.987086,751.416790,719.400714,650.191661,600.869286,570.667458,547.811302,534.144929,538.849050,553.124499,851.338748,835.922995,787.138599,716.964843,700.391336,683.065158,654.666752,592.448768,605.619160,593.843982
